,Title,DietaryNotes,Description,Price,AdditionalNotes,menuItem
,Specialty Pancakes,,"With your choice of bee cake or buttermilk batter. 
Buttermilk Single: $5.00  •  Stack of Two: $10.00   
Bee Cake Single: $5.50  •  Stack of Two: $11.00
",,,
,,,,,,
,Blue Cakes,,Studded with blueberries and topped with maple-macerated blueberries served with honey butter,,,TRUE
,Piggy Cakes,,"Bacon in the batter, topped with 
whipped cream and candied pecans
",,,TRUE
,Nutty Cakes,N,"Studded with chocolate chips, topped 
with natural peanut butter and bananas
",,,TRUE
,Seasonal Cakes,N,"Topped with seasonal fruit, whipped cream and our house-made hemp seed granola",,,TRUE
,Extras,,,,,
,Toast,,,Whole Wheat: $1.50 | Milk Bread: $2.00 | Eban's Gluten Free: $2.50,,TRUE
,Free Range Egg,,How ever you like it,$1.50,,TRUE
,Thick Cut Bacon,GF,,$4.00,,TRUE
,Stimulus Bacon,,,$5.00,,TRUE
,Pasture Raised Sausage,GF,,$4.00,,TRUE
,Vegan House Made Goetta,S,,$3.00,,TRUE
,Extra Sauce,,,$0.50,,TRUE
LUNCH,,,,,,
,Salads + Bowls,,,,,
,Leaf Cutter,GF,"80 Acres Greens, raw beets, carrots and celery served with hot-honey vinaigrette",$8.00,,TRUE
,Bee Chop,GF,"80 Acres Greens, local veggies, avocado and Sleepy Bee seed mix, served with our hot-honey vinaigrette",$10.50,,TRUE
,Sweet Bee Quinoa Bowl,GF,"Quinoa, brown and black rice sautéed with mushrooms, spinach, sweet potatoes, cauliflower and chimichurri, topped with pickled onions and chickpeas",$12.00,,TRUE
,Chicken Bacon Ranch Quinoa Bowl,GF,"Quinoa and brown rice sautéed with marinated chicken, bacon, broccoli, celery and parsley and topped with house-made smokey ranch dressing",$14.00,,TRUE
,Lentil Rice Bowl,"GF, V","New grain bowl with lentils, brown rice, mushrooms, onions, pickled raisins, ember vinaigrette, parsley and pickled lemons",$13.00,,TRUE
,Sandwiches,,,,,
,Hot Honey Lunch Sandwich,,"Hot honey chicken with nectar sauce, vegetable slaw and ginger pickles on Allez Bakery multigrain bread",$13.00,,TRUE
,Grilled Cheese,S,White cheddar and swiss cheeses melted between two slices of griddled Allez sourdough bread,$9.50,,TRUE
,The Beekeeper,S,"Roasted chicken, bacon, avocado, tomato, cheddar cheese, lettuce, quick-pickled onion and “nectar” sauce on toasted multigrain",$12.00,,TRUE
,Soups,,"These change with the seasons, freshness and flavor, our reasons. Cup $3.50 • Bowl $5.00",,,
,Turmeric Bone Broth,GF,"Enriched broth from roasted beef and chicken bones, simmered with aromatics",,,TRUE
,Ginger Coconut Sweet Potato,"V, GF","Creamy vegan sweet potato soup, infused with coconut milk and a ginger curry kick",,,TRUE
,Sides,,,,,
,Roasted Red Skin Potatoes,GF,With house-made honey garlic sauce,$3.50,,TRUE
,Roasted Sweet Potatoes,"V, GF",,$3.50,,TRUE
,Side of Toast,,,Whole Wheat $1.50 | Milk Bread $2.00 | Eban's Gluten Free $2.50,,TRUE
,Mini Leaf Cutter Salad,GF,,$3.50,,TRUE
,Extra Sauce,,,$0.50,,TRUE
